epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,34215.1,1.6627,1.16547,1.24319,0.34612,0.25062,0.19922,0.05992,2.70227,2.40984,1.99058,0.000185,0.000185,0.000185
112,34414.1,1.64007,1.14947,1.25214,0.35985,0.2679,0.21168,0.06226,2.70689,2.31147,1.96811,0.0001685,0.0001685,0.0001685
113,34629,1.60502,1.11094,1.23273,0.33847,0.26593,0.20939,0.06242,2.71513,2.34552,1.97565,0.000152,0.000152,0.000152
114,34829.2,1.58532,1.08263,1.23012,0.34029,0.28395,0.22015,0.06287,2.70819,2.35383,1.96746,0.0001355,0.0001355,0.0001355
115,35042.1,1.59517,1.08351,1.22318,0.34608,0.27901,0.21309,0.06311,2.71091,2.36515,1.98048,0.000119,0.000119,0.000119
116,35221.5,1.56385,1.05673,1.20645,0.33029,0.27407,0.21287,0.06225,2.72973,2.35794,1.98454,0.0001025,0.0001025,0.0001025
117,35416.5,1.56337,1.0465,1.21015,0.32558,0.28642,0.21048,0.06159,2.72346,2.34171,1.99154,8.6e-05,8.6e-05,8.6e-05
118,35611.5,1.56516,1.05521,1.2035,0.3236,0.29136,0.21332,0.06236,2.7213,2.32859,1.98912,6.95e-05,6.95e-05,6.95e-05
119,35828.4,1.54713,1.03965,1.20386,0.34526,0.29012,0.21733,0.06374,2.72603,2.30879,1.98753,5.3e-05,5.3e-05,5.3e-05
120,36006.5,1.55469,1.04567,1.20641,0.3347,0.28642,0.21386,0.06221,2.7369,2.32741,1.99763,3.65e-05,3.65e-05,3.65e-05
